BookID,Title,Author,Genre,PublishedYear,Price
1,The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,10.99
2,To Kill a Mockingbird,Harper Lee,Fiction,1960,8.99
3,1984,George Orwell,Dystopian,1949,9.50
4,Pride and Prejudice,Jane Austen,Romance,1813,7.25
5,The Hobbit,J.R.R. Tolkien,Fantasy,1937,12.75
6,Moby Dick,Herman Melville,Adventure,1851,11.40
7,War and Peace,Leo Tolstoy,Historical,1869,14.30
8,The Catcher in the Rye,J.D. Salinger,Fiction,1951,9.10
9,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,20.00
10,Brave New World,Aldous Huxley,Dystopian,1932,8.75
12,The Hunger Games,Suzanne Collins,Science fiction,1871,9.10
